policy,knob,config,cost_instance_hours,slo_violation_fraction,slo_threshold_s,p50_age_s,p99_age_s,max_age_s,mean_instances,messages_arrived,messages_completed,unprocessed_at_end,completion_fraction
static,25.0,n=25,28800.0,0.996365479293368,60.0,466837.44410802727,1038860.3786695781,1052947.0813495908,25.0,4722644,3449462,1273182,0.7304090674630567
static,30.0,n=30,34560.0,0.9820590790616854,60.0,189435.9294175699,508931.5446052399,515804.23114075884,30.0,4722644,4107695,614949,0.8697871361889653
static,35.0,n=35,40320.0,0.9295540110049233,60.0,17943.167659547646,57955.58127208332,63590.1289558108,35.0,4722644,4644524,78120,0.983458418631597
static,40.0,n=40,46080.0,0.7112221256878077,60.0,2424.998793487146,25731.240600912573,32841.66739159357,40.0,4722644,4697749,24895,0.9947285884771327
static,45.0,n=45,51840.0,0.5166666666666667,60.0,109.89812088117469,13189.35391483969,17640.308360294905,45.0,4722644,4713565,9079,0.9980775599431166
static,50.0,n=50,57600.0,0.34309296264118155,60.0,0.0,7672.66255017713,10843.137483065017,50.0,4722644,4718959,3685,0.9992197167518873
static,55.0,n=55,63360.0,0.1958586736171445,60.0,0.0,4408.795980810878,7046.092620161362,55.0,4722644,4722112,532,0.999887351237993
static,60.0,n=60,69120.0,0.09064581523313062,60.0,0.0,2329.87983541334,4155.791499519721,60.0,4722644,4722533,111,0.9999764962169496
static,65.0,n=65,74880.0,0.03651896901245294,60.0,0.0,1047.65014655096,2710.092087032739,65.0,4722644,4722578,66,0.9999860247776458
static,70.0,n=70,80640.0,0.01685490877497828,60.0,0.0,235.9634605753398,1821.4726479151286,70.0,4722644,4722582,62,0.9999868717608187
static,75.0,n=75,86400.0,0.00670431508832899,60.0,0.0,7.47950402697799,1160.7505868067965,75.0,4722644,4722583,61,0.999987083506612
static,80.0,n=80,92160.0,0.00333043730089777,60.0,0.0,0.0,697.4574195109308,80.0,4722644,4722583,61,0.999987083506612
static,85.0,n=85,97920.0,0.001259774109470026,60.0,0.0,0.0,370.7595168258995,85.0,4722644,4722583,61,0.999987083506612
static,90.0,n=90,103680.0,0.000593686649290472,60.0,0.0,0.0,134.05493101198226,90.0,4722644,4722583,61,0.999987083506612
static,95.0,n=95,109440.0,0.0,60.0,0.0,0.0,16.492798048071563,95.0,4722644,4722583,61,0.999987083506612
static,100.0,n=100,115200.0,0.0,60.0,0.0,0.0,7.167114983312786,100.0,4722644,4722583,61,0.999987083506612
static,105.0,n=105,120960.0,0.0,60.0,0.0,0.0,3.583929318934679,105.0,4722644,4722583,61,0.999987083506612
static,110.0,n=110,126720.0,0.0,60.0,0.0,0.0,2.2259208876639605,110.0,4722644,4722583,61,0.999987083506612
static,115.0,n=115,132480.0,0.0,60.0,0.0,0.0,0.6953008836135268,115.0,4722644,4722583,61,0.999987083506612
static,120.0,n=120,138240.0,0.0,60.0,0.0,0.0,0.0,120.0,4722644,4722583,61,0.999987083506612
static,125.0,n=125,144000.0,0.0,60.0,0.0,0.0,0.0,125.0,4722644,4722583,61,0.999987083506612
static,130.0,n=130,149760.0,0.0,60.0,0.0,0.0,0.0,130.0,4722644,4722583,61,0.999987083506612
backlog_per_instance,15.0,"budget=15s, floor=0",192610.07144826427,0.30558934260063714,60.0,0.0,178.291745828744,179.93295684130862,88.09900086880972,4722644,4722580,64,0.9999864482692322
backlog_per_instance,15.0,"budget=15s, floor=20",136841.7104247436,0.17174920359108023,60.0,0.0,123.91624537896425,153.67335298331454,74.838517231393,4722644,4722583,61,0.999987083506612
backlog_per_instance,15.0,"budget=15s, floor=40",83551.46602704868,0.016941789748045177,60.0,0.0,65.67784522379982,124.49141494417563,58.707500724008106,4722644,4722583,61,0.999987083506612
backlog_per_instance,15.0,"budget=15s, floor=60",72351.45503625664,0.00023168259484506227,60.0,0.0,24.828580562793682,78.42468007514253,61.59180422820736,4722644,4722563,81,0.999982848590747
backlog_per_instance,15.0,"budget=15s, floor=80",92320.90035847659,0.0,60.0,0.0,0.0,50.54702828777954,80.08166811468288,4722644,4722583,61,0.999987083506612
backlog_per_instance,30.0,"budget=30s, floor=0",160127.0923097817,0.3828410078192876,60.0,39.44134828564711,178.7054093808349,182.49008803640027,96.48565015928179,4722644,4722407,237,0.9999498162470006
backlog_per_instance,30.0,"budget=30s, floor=20",97206.07751698363,0.2262235737040255,60.0,0.0,130.99557812951977,153.10415900545195,61.928410078192876,4722644,4722477,167,0.9999646384525278
backlog_per_instance,30.0,"budget=30s, floor=40",67346.52646726387,0.051694178974804515,60.0,0.0,80.34353763324968,116.15794238913804,51.29304952215465,4722644,4722515,129,0.9999726847926712
backlog_per_instance,30.0,"budget=30s, floor=60",70738.0166562408,0.0014624963799594556,60.0,0.0,39.8783414346656,92.32041640905663,60.845438748913985,4722644,4722553,91,0.9999807311328146
backlog_per_instance,30.0,"budget=30s, floor=80",92226.15176593367,1.4480162177816392e-05,60.0,0.0,0.0,61.839828031137586,80.03536055603823,4722644,4722583,61,0.999987083506612
backlog_per_instance,45.0,"budget=45s, floor=0",86076.69294308343,0.44359976831740516,60.0,57.7725922166137,198.3888206291301,213.07271900121123,47.87141615986099,4722644,4722407,237,0.9999498162470006
backlog_per_instance,45.0,"budget=45s, floor=20",74074.89486394859,0.28362293657688964,60.0,23.896341672400013,141.78673852284672,168.70677756890655,49.370793512887346,4722644,4722439,205,0.9999565921123845
backlog_per_instance,45.0,"budget=45s, floor=40",61920.05028857159,0.11352447147408051,60.0,0.0,95.58488908029636,135.38458595750853,49.08298580944106,4722644,4722423,221,0.9999532041796926
backlog_per_instance,45.0,"budget=45s, floor=60",70233.66415875817,0.006009267303793802,60.0,0.0,53.84964940457141,102.29839877970517,60.62258905299739,4722644,4722533,111,0.9999764962169496
