policy,knob,config,cost_instance_hours,slo_violation_fraction,slo_threshold_s,p50_age_s,p99_age_s,max_age_s,mean_instances,messages_arrived,messages_completed,unprocessed_at_end,completion_fraction
static,25.0,n=25,7200.0,0.9904761904761905,60.0,115651.37252619577,277634.1501018565,281512.00312538596,25.0,1249487,860273,389214,0.68850096079431
static,30.0,n=30,8640.0,0.9530197444831591,60.0,67678.03693257814,165849.96601784864,168517.27994264557,30.0,1249487,1012154,237333,0.8100556468374621
static,35.0,n=35,10080.0,0.9173635307781649,60.0,24089.904351134028,59934.684659385,62224.668827759684,35.0,1249487,1148485,101002,0.9191652254085076
static,40.0,n=40,11520.0,0.7815911730545877,60.0,3738.1010552523367,24003.51323321757,26307.364244104014,40.0,1249487,1204512,44975,0.9640052277454667
static,45.0,n=45,12960.0,0.5698606271777004,60.0,289.5006990689144,16120.898644709707,18243.08858654264,45.0,1249487,1216991,32496,0.9739925265328891
static,50.0,n=50,14400.0,0.35470383275261325,60.0,0.0,11361.221728358812,13266.542261590017,50.0,1249487,1226772,22715,0.9818205391492668
static,55.0,n=55,15840.0,0.227061556329849,60.0,0.0,7953.802838670104,9630.755884522805,55.0,1249487,1233324,16163,0.9870642911851024
static,60.0,n=60,17280.0,0.15481997677119627,60.0,0.0,5804.081391886585,7224.539391105063,60.0,1249487,1238964,10523,0.9915781436701623
static,65.0,n=65,18720.0,0.09576074332171892,60.0,0.0,4263.80499749386,5422.558035751921,65.0,1249487,1243557,5930,0.9952540522630487
static,70.0,n=70,20160.0,0.05551684088269454,60.0,0.0,3015.1223987593216,3973.343398984405,70.0,1249487,1247813,1674,0.9986602501666684
static,75.0,n=75,21600.0,0.039198606271777,60.0,0.0,1989.4599287865028,2793.804592676577,75.0,1249487,1249450,37,0.9999703878471725
static,80.0,n=80,23040.0,0.026713124274099883,60.0,0.0,1218.3859878587027,1872.9919170156354,80.0,1249487,1249450,37,0.9999703878471725
static,85.0,n=85,24480.0,0.020557491289198607,60.0,0.0,584.9796921208072,1109.4099556683796,85.0,1249487,1249450,37,0.9999703878471725
static,90.0,n=90,25920.0,0.013763066202090592,60.0,0.0,165.46146951791007,519.097574683954,90.0,1249487,1249450,37,0.9999703878471725
static,95.0,n=95,27360.0,0.0021486643437862952,60.0,0.0,7.729052861630932,72.60813678079285,95.0,1249487,1249450,37,0.9999703878471725
static,100.0,n=100,28800.0,0.0,60.0,0.0,0.0,21.770810889196582,100.0,1249487,1249450,37,0.9999703878471725
static,105.0,n=105,30240.0,0.0,60.0,0.0,0.0,13.336494759307243,105.0,1249487,1249450,37,0.9999703878471725
static,110.0,n=110,31680.0,0.0,60.0,0.0,0.0,5.492277159937657,110.0,1249487,1249450,37,0.9999703878471725
static,115.0,n=115,33120.0,0.0,60.0,0.0,0.0,2.520909924991429,115.0,1249487,1249450,37,0.9999703878471725
static,120.0,n=120,34560.0,0.0,60.0,0.0,0.0,0.9135830630548298,120.0,1249487,1249450,37,0.9999703878471725
static,125.0,n=125,36000.0,0.0,60.0,0.0,0.0,0.0,125.0,1249487,1249450,37,0.9999703878471725
static,130.0,n=130,37440.0,0.0,60.0,0.0,0.0,0.0,130.0,1249487,1249450,37,0.9999703878471725
backlog_per_instance,15.0,"budget=15s, floor=0",50776.59350470213,0.31898954703832755,60.0,0.0,178.56136019021332,179.92456666659564,91.20969802555169,1249487,1249450,37,0.9999703878471725
backlog_per_instance,15.0,"budget=15s, floor=20",36746.4102531617,0.18333333333333332,60.0,0.0,129.2042935070064,154.61424726305995,78.40871080139372,1249487,1249410,77,0.9999383747089806
backlog_per_instance,15.0,"budget=15s, floor=40",23286.391115538107,0.027409988385598143,60.0,0.0,75.27018449525028,122.52348729397636,63.004413472706155,1249487,1249450,37,0.9999703878471725
backlog_per_instance,15.0,"budget=15s, floor=60",19359.427631238694,0.0016840882694541231,60.0,0.0,36.50200275247276,81.26773175527342,64.15842044134727,1249487,1249450,37,0.9999703878471725
backlog_per_instance,15.0,"budget=15s, floor=80",23352.795160933307,0.0,60.0,0.0,8.05378536526246,55.65857108181808,80.62473867595818,1249487,1249450,37,0.9999703878471725
backlog_per_instance,30.0,"budget=30s, floor=0",42417.052906848345,0.38391405342624857,60.0,39.622231307817856,178.84023035570573,180.68917305546347,102.22067363530778,1249487,1249280,207,0.9998343320098568
backlog_per_instance,30.0,"budget=30s, floor=20",26684.297572346357,0.2367015098722416,60.0,0.0,134.77425275319257,153.58625134080648,67.57479674796748,1249487,1249430,57,0.9999543812780766
backlog_per_instance,30.0,"budget=30s, floor=40",18388.62159726833,0.06265969802555169,60.0,0.0,86.5484571776225,123.84790699952282,54.695238095238096,1249487,1249448,39,0.9999687871902628
backlog_per_instance,30.0,"budget=30s, floor=60",18388.504316945633,0.005284552845528455,60.0,0.0,51.871668673235746,94.64353837713134,62.32996515679442,1249487,1249450,37,0.9999703878471725
backlog_per_instance,30.0,"budget=30s, floor=80",23220.84865680271,0.0003484320557491289,60.0,0.0,21.67492997731789,75.05978997738566,80.36416957026714,1249487,1249450,37,0.9999703878471725
backlog_per_instance,45.0,"budget=45s, floor=0",22755.48497318788,0.44059233449477353,60.0,57.80088207519657,198.44585926243687,206.94966826133896,50.56242740998839,1249487,1249418,69,0.9999447773366189
backlog_per_instance,45.0,"budget=45s, floor=20",19864.935256565583,0.29036004645760743,60.0,24.799774121704104,145.49078634671235,168.44011572445743,52.27253193960511,1249487,1249390,97,0.9999223681398846
backlog_per_instance,45.0,"budget=45s, floor=40",16618.005944400284,0.13199767711962834,60.0,1.1109138857391372,103.22657042266752,134.65817648067605,51.69186991869919,1249487,1249448,39,0.9999687871902628
backlog_per_instance,45.0,"budget=45s, floor=60",18098.711933612776,0.01713124274099884,60.0,0.0,67.94335801987214,109.91558546223678,61.83263646922183,1249487,1249450,37,0.9999703878471725
backlog_per_instance,45.0,"budget=45s, floor=80",23173.362439799203,0.0025551684088269454,60.0,0.0,34.22933191738608,82.3666728589451,80.30871080139373,1249487,1249450,37,0.9999703878471725
backlog_per_instance,60.0,"budget=60s, floor=0",23554.12324397884,0.5270034843205574,60.0,65.62054760658066,209.43626122183633,217.15124238762655,58.02706155632985,1249487,1249340,147,0.9998823517171447
backlog_per_instance,60.0,"budget=60s, floor=20",17728.022708143562,0.3918118466898955,60.0,39.362973467912525,158.0138383505412,176.79696466343012,49.75632984901278,1249487,1249361,126,0.9998991586146955
backlog_per_instance,60.0,"budget=60s, floor=40",15562.933136071353,0.24698025551684089,60.0,9.31968428773689,115.12926025831095,151.3037662623683,49.83524970963995,1249487,1249434,53,0.9999575825918957
backlog_per_instance,60.0,"budget=60s, floor=60",17911.142443552104,0.038908246225319396,60.0,0.0,80.27329197670566,121.27471250283998,61.54761904761905,1249487,1249450,37,0.9999703878471725
backlog_per_instance,60.0,"budget=60s, floor=80",23138.38337614238,0.006562137049941928,60.0,0.0,47.59257634902973,96.57648164103739,80.24198606271777,1249487,1249450,37,0.9999703878471725
